time_s,x_m,v_m_s,theta_rad,omega_rad_s,force_N,push_N
1.675000000000000100e-01,2.624270331516597582e-02,1.864197826396105095e-01,1.154213563814617156e-02,-2.581967544057426900e-01,-3.319827535668200547e-01,0.000000000000000000e+00
1.700000000000000122e-01,2.670729365890371979e-02,1.852461944414443840e-01,1.090025629745169401e-02,-2.552993672599573882e-01,-3.454190946607202939e-01,0.000000000000000000e+00
1.725000000000000144e-01,2.716890361573496074e-02,1.840357950694487266e-01,1.026567406842898537e-02,-2.523596493548357356e-01,-3.582262175587018760e-01,0.000000000000000000e+00
1.750000000000000167e-01,2.762744354667427682e-02,1.827904855316400956e-01,9.638490449360669760e-03,-2.493810424730530384e-01,-3.704232705200976028e-01,0.000000000000000000e+00
1.774999999999999911e-01,2.808282848978201768e-02,1.815121067178988024e-01,9.018798490907253829e-03,-2.463668635184049771e-01,-3.820289193618968682e-01,0.000000000000000000e+00
1.799999999999999933e-01,2.853497801181442348e-02,1.802024409507308189e-01,8.406683103922722722e-03,-2.433203080075319047e-01,-3.930613576854771196e-01,0.000000000000000000e+00
1.824999999999999956e-01,2.898381606370875954e-02,1.788632135025875758e-01,7.802221358641894637e-03,-2.402444534810365961e-01,-4.035383169409700876e-01,0.000000000000000000e+00
1.849999999999999978e-01,2.942927083982050523e-02,1.774960940802911835e-01,7.205482775439200731e-03,-2.371422628354643292e-01,-4.134770763301256480e-01,0.000000000000000000e+00
1.875000000000000000e-01,2.987127464083106157e-02,1.761026982771075888e-01,6.616529607354929704e-03,-2.340165875775945259e-01,-4.228944725485899170e-01,0.000000000000000000e+00
1.900000000000000022e-01,3.030976374024574316e-02,1.746845889930054296e-01,6.035417114581361278e-03,-2.308701710024737286e-01,-4.318069093685048543e-01,0.000000000000000000e+00
1.925000000000000044e-01,3.074467825440323557e-02,1.732432778236339954e-01,5.462193831097668720e-03,-2.277056512966003643e-01,-4.402303670623863852e-01,0.000000000000000000e+00
1.950000000000000067e-01,3.117596201591892047e-02,1.717802264185497307e-01,4.896901823638966436e-03,-2.245255645676541845e-01,-4.481804116692451601e-01,0.000000000000000000e+00
1.975000000000000089e-01,3.160356245048588641e-02,1.702968478092154181e-01,4.339576943181423958e-03,-2.213323478021457513e-01,-4.556722041039820148e-01,0.000000000000000000e+00
2.000000000000000111e-01,3.202743045695870261e-02,1.687945077072930122e-01,3.790249069121931578e-03,-2.181283417523435519e-01,-4.627205091110813129e-01,0.000000000000000000e+00
2.025000000000000133e-01,3.244752029064631310e-02,1.672745257737458247e-01,3.248942346327458354e-03,-2.149157937538200280e-01,-4.693397040637106166e-01,0.000000000000000000e+00
2.050000000000000155e-01,3.286378944974175514e-02,1.657381768592618154e-01,2.715675415225889122e-03,-2.116968604749415173e-01,-4.755437876093520089e-01,0.000000000000000000e+00
2.075000000000000178e-01,3.327619856481758842e-02,1.641866922165056697e-01,2.190461635106839833e-03,-2.084736105996101430e-01,-4.813463881631223629e-01,0.000000000000000000e+00
2.099999999999999922e-01,3.368471129131728192e-02,1.626212606847021180e-01,1.673309300797706616e-03,-2.052480274445503683e-01,-4.867607722500202350e-01,0.000000000000000000e+00
2.124999999999999944e-01,3.408929420497400220e-02,1.610430298470492960e-01,1.164221852876986922e-03,-2.020220115124166937e-01,-4.917998526973454965e-01,0.000000000000000000e+00
2.149999999999999967e-01,3.448991670008944715e-02,1.594531071614559981e-01,6.631980815837388308e-04,-1.987973829819831839e-01,-4.964761966785755654e-01,0.000000000000000000e+00
2.174999999999999989e-01,3.488655089060674341e-02,1.578525610650919342e-01,1.702323245789163489e-04,-1.955758841366600220e-01,-5.008020336100789116e-01,0.000000000000000000e+00
2.200000000000000011e-01,3.527917151391245926e-02,1.562424220532356578e-01,-3.146853412887778783e-04,-1.923591817325663866e-01,-5.047892629020092059e-01,0.000000000000000000e+00
2.225000000000000033e-01,3.566775583730408955e-02,1.546236837329001135e-01,-7.915689140629337227e-04,-1.891488693073736238e-01,-5.084494615648256222e-01,0.000000000000000000e+00
2.250000000000000056e-01,3.605228356706063203e-02,1.529973038517103701e-01,-1.260436286458794597e-03,-1.859464694311168120e-01,-5.117938916728963505e-01,0.000000000000000000e+00
2.275000000000000078e-01,3.643273676005484574e-02,1.513642053025037182e-01,-1.721309071198342438e-03,-1.827534359001573849e-01,-5.148335076866816795e-01,0.000000000000000000e+00
2.300000000000000100e-01,3.680909973784719791e-02,1.497252771041170383e-01,-2.174212431760444257e-03,-1.795711558754639336e-01,-5.175789636350258682e-01,0.000000000000000000e+00
2.325000000000000122e-01,3.718135900320246323e-02,1.480813753588210713e-01,-2.619174918408300520e-03,-1.764009519663622683e-01,-5.200406201591376565e-01,0.000000000000000000e+00
2.350000000000000144e-01,3.754950315897120222e-02,1.464333241868562840e-01,-3.056228309359288863e-03,-1.732440842608907738e-01,-5.222285514198381495e-01,0.000000000000000000e+00
